SL. NO,EQUIPMENT TAG,EQUIPMENT LOCATION,AREA SERVED,APPLICATION,CAPACITY (CMH / TR),STATIC PRESSURE IN MM / HEAD IN M,EQUIPMENT TYPE,MODEL NO.,POWER INPUT IN KW,QUANTITY,V-PH-Hz,WORKING / STANDBY,PHASE,STARTER TYPE
307,EX-TCU - 22,TBR CURING ROOF MONITOR,TBR CURING ,EXHAUST AIR,34000,50,VANE AXIAL FAN,VDA 1000,11,1,415V-3Ph-50Hz,WORKING,PHASE-1,STAR DELTA STARTER WITH MPCB
308,EX-TCU - 23,TBR CURING ROOF MONITOR,TBR CURING ,EXHAUST AIR,34000,50,VANE AXIAL FAN,VDA 1000,11,1,415V-3Ph-50Hz,WORKING,PHASE-2,STAR DELTA STARTER WITH MPCB
309,EX-TCU - 24,TBR CURING ROOF MONITOR,TBR CURING ,EXHAUST AIR,34000,50,VANE AXIAL FAN,VDA 1000,11,1,415V-3Ph-50Hz,WORKING,PHASE-2,STAR DELTA STARTER WITH MPCB
310,EX-TCU - 25,TBR CURING ROOF MONITOR,TBR CURING ,EXHAUST AIR,34000,50,VANE AXIAL FAN,VDA 1000,11,1,415V-3Ph-50Hz,WORKING,PHASE-2,STAR DELTA STARTER WITH MPCB
311,EX-TCU - 26,TBR CURING ROOF MONITOR,TBR CURING ,EXHAUST AIR,34000,50,VANE AXIAL FAN,VDA 1000,11,1,415V-3Ph-50Hz,WORKING,PHASE-2,STAR DELTA STARTER WITH MPCB
312,EX-TCU - 27,TBR CURING ROOF MONITOR,TBR CURING ,EXHAUST AIR,34000,50,VANE AXIAL FAN,VDA 1000,11,1,415V-3Ph-50Hz,WORKING,PHASE-2,STAR DELTA STARTER WITH MPCB
313,EX-TCU - 28,TBR CURING ROOF MONITOR,TBR CURING ,EXHAUST AIR,34000,50,VANE AXIAL FAN,VDA 1000,11,1,415V-3Ph-50Hz,WORKING,PHASE-2,STAR DELTA STARTER WITH MPCB
314,EX-TCU - 29,TBR CURING ROOF MONITOR,TBR CURING ,EXHAUST AIR,34000,50,VANE AXIAL FAN,VDA 1000,11,1,415V-3Ph-50Hz,WORKING,PHASE-2,STAR DELTA STARTER WITH MPCB
315,EX-TCU - 30,TBR CURING ROOF MONITOR,TBR CURING ,EXHAUST AIR,34000,50,VANE AXIAL FAN,VDA 1000,11,1,415V-3Ph-50Hz,WORKING,PHASE-2,STAR DELTA STARTER WITH MPCB
316,EX-TCU - 31,TBR CURING ROOF MONITOR,TBR CURING ,EXHAUST AIR,34000,50,VANE AXIAL FAN,VDA 1000,11,1,415V-3Ph-50Hz,WORKING,PHASE-2,STAR DELTA STARTER WITH MPCB
317,EX-TCU - 32,TBR CURING ROOF MONITOR,TBR CURING ,EXHAUST AIR,34000,50,VANE AXIAL FAN,VDA 1000,11,1,415V-3Ph-50Hz,WORKING,PHASE-2,STAR DELTA STARTER WITH MPCB
318,EX-TCU - 33,TBR CURING ROOF MONITOR,TBR CURING ,EXHAUST AIR,34000,50,VANE AXIAL FAN,VDA 1000,11,1,415V-3Ph-50Hz,WORKING,PHASE-2,STAR DELTA STARTER WITH MPCB
319,EX-TCU - 34,TBR CURING ROOF MONITOR,TBR CURING ,EXHAUST AIR,34000,50,VANE AXIAL FAN,VDA 1000,11,1,415V-3Ph-50Hz,WORKING,PHASE-2,STAR DELTA STARTER WITH MPCB
320,EX-TCU - 35,TBR CURING ROOF MONITOR,TBR CURING ,EXHAUST AIR,34000,50,VANE AXIAL FAN,VDA 1000,11,1,415V-3Ph-50Hz,WORKING,PHASE-2,STAR DELTA STARTER WITH MPCB
321,EX-TCU - 36,TBR CURING ROOF MONITOR,TBR CURING ,EXHAUST AIR,34000,50,VANE AXIAL FAN,VDA 1000,11,1,415V-3Ph-50Hz,WORKING,PHASE-2,STAR DELTA STARTER WITH MPCB
322,EX-TCU - 37,TBR CURING ROOF MONITOR,TBR CURING ,EXHAUST AIR,34000,50,VANE AXIAL FAN,VDA 1000,11,1,415V-3Ph-50Hz,WORKING,PHASE-2,STAR DELTA STARTER WITH MPCB
323,EX-TCU - 38,TBR CURING ROOF MONITOR,TBR CURING ,EXHAUST AIR,34000,50,VANE AXIAL FAN,VDA 1000,11,1,415V-3Ph-50Hz,WORKING,PHASE-2,STAR DELTA STARTER WITH MPCB
324,EX-TCU - 39,TBR CURING ROOF MONITOR,TBR CURING ,EXHAUST AIR,34000,50,VANE AXIAL FAN,VDA 1000,11,1,415V-3Ph-50Hz,WORKING,PHASE-2,STAR DELTA STARTER WITH MPCB
325,EX-TCU - 40,TBR CURING ROOF MONITOR,TBR CURING ,EXHAUST AIR,34000,50,VANE AXIAL FAN,VDA 1000,11,1,415V-3Ph-50Hz,WORKING,PHASE-2,STAR DELTA STARTER WITH MPCB
326,EX-TCU - 41,TBR CURING ROOF MONITOR,TBR CURING ,EXHAUST AIR,34000,50,VANE AXIAL FAN,VDA 1000,11,1,415V-3Ph-50Hz,WORKING,PHASE-2,STAR DELTA STARTER WITH MPCB
327,EX-TCU - 42,TBR CURING ROOF MONITOR,TBR CURING ,EXHAUST AIR,34000,50,VANE AXIAL FAN,VDA 1000,11,1,415V-3Ph-50Hz,WORKING,PHASE-2,STAR DELTA STARTER WITH MPCB
328,EX-TCU - 43,TBR CURING ROOF MONITOR,TBR CURING ,EXHAUST AIR,34000,50,VANE AXIAL FAN,VDA 1000,11,1,415V-3Ph-50Hz,WORKING,PHASE-2,STAR DELTA STARTER WITH MPCB
329,EX-TCU - 44,TBR CURING ROOF MONITOR,TBR CURING ,EXHAUST AIR,34000,50,VANE AXIAL FAN,VDA 1000,11,1,415V-3Ph-50Hz,WORKING,PHASE-2,STAR DELTA STARTER WITH MPCB
330,EX-TCU - 45,TBR CURING ROOF MONITOR,TBR CURING ,EXHAUST AIR,34000,50,VANE AXIAL FAN,VDA 1000,11,1,415V-3Ph-50Hz,WORKING,PHASE-2,STAR DELTA STARTER WITH MPCB
331,EX-TCU - 46,TBR CURING ROOF MONITOR,TBR CURING ,EXHAUST AIR,34000,50,VANE AXIAL FAN,VDA 1000,11,1,415V-3Ph-50Hz,WORKING,PHASE-2,STAR DELTA STARTER WITH MPCB
332,EX-TCU - 47,TBR CURING ROOF MONITOR,TBR CURING ,EXHAUST AIR,34000,50,VANE AXIAL FAN,VDA 1000,11,1,415V-3Ph-50Hz,WORKING,PHASE-2,STAR DELTA STARTER WITH MPCB
333,EX-TCU - 48,TBR CURING ROOF MONITOR,TBR CURING ,EXHAUST AIR,34000,50,VANE AXIAL FAN,VDA 1000,11,1,415V-3Ph-50Hz,WORKING,PHASE-2,STAR DELTA STARTER WITH MPCB
334,EX-TCU - 49,TBR CURING ROOF MONITOR,TBR CURING ,EXHAUST AIR,34000,50,VANE AXIAL FAN,VDA 1000,11,1,415V-3Ph-50Hz,WORKING,PHASE-2,STAR DELTA STARTER WITH MPCB
335,EX-TCU - 50,TBR CURING ROOF MONITOR,TBR CURING ,EXHAUST AIR,34000,50,VANE AXIAL FAN,VDA 1000,11,1,415V-3Ph-50Hz,WORKING,PHASE-2,STAR DELTA STARTER WITH MPCB
336,EX-TCU - 51,TBR CURING ROOF MONITOR,TBR CURING ,EXHAUST AIR,34000,50,VANE AXIAL FAN,VDA 1000,11,1,415V-3Ph-50Hz,WORKING,PHASE-2,STAR DELTA STARTER WITH MPCB
337,EX-TCU - 52,TBR CURING ROOF MONITOR,TBR CURING ,EXHAUST AIR,34000,50,VANE AXIAL FAN,VDA 1000,11,1,415V-3Ph-50Hz,WORKING,PHASE-2,STAR DELTA STARTER WITH MPCB
338,EX-TCU - 53,TBR CURING ROOF MONITOR,TBR CURING ,EXHAUST AIR,34000,50,VANE AXIAL FAN,VDA 1000,11,1,415V-3Ph-50Hz,WORKING,PHASE-2,STAR DELTA STARTER WITH MPCB
339,EX-TCU - 54,TBR CURING ROOF MONITOR,TBR CURING ,EXHAUST AIR,34000,50,VANE AXIAL FAN,VDA 1000,11,1,415V-3Ph-50Hz,WORKING,PHASE-2,STAR DELTA STARTER WITH MPCB
340,EX-TCU - 55,TBR CURING ROOF MONITOR,TBR CURING ,EXHAUST AIR,34000,50,VANE AXIAL FAN,VDA 1000,11,1,415V-3Ph-50Hz,WORKING,PHASE-2,STAR DELTA STARTER WITH MPCB
341,EX-TCU - 56,TBR CURING ROOF MONITOR,TBR CURING ,EXHAUST AIR,34000,50,VANE AXIAL FAN,VDA 1000,11,1,415V-3Ph-50Hz,WORKING,PHASE-2,STAR DELTA STARTER WITH MPCB
342,EX-TCU - 57,TBR CURING ROOF MONITOR,TBR CURING ,EXHAUST AIR,34000,50,VANE AXIAL FAN,VDA 1000,11,1,415V-3Ph-50Hz,WORKING,PHASE-2,STAR DELTA STARTER WITH MPCB
343,EX-TCU - 58,TBR CURING ROOF MONITOR,TBR CURING ,EXHAUST AIR,34000,50,VANE AXIAL FAN,VDA 1000,11,1,415V-3Ph-50Hz,WORKING,PHASE-2,STAR DELTA STARTER WITH MPCB
344,EX-TCU - 59,TBR CURING ROOF MONITOR,TBR CURING ,EXHAUST AIR,34000,50,VANE AXIAL FAN,VDA 1000,11,1,415V-3Ph-50Hz,WORKING,PHASE-2,STAR DELTA STARTER WITH MPCB
345,EX-TCU - 60,TBR CURING ROOF MONITOR,TBR CURING ,EXHAUST AIR,34000,50,VANE AXIAL FAN,VDA 1000,11,1,415V-3Ph-50Hz,WORKING,PHASE-2,STAR DELTA STARTER WITH MPCB
346,EX-TCU - 61,TBR CURING ROOF MONITOR,TBR CURING ,EXHAUST AIR,34000,50,VANE AXIAL FAN,VDA 1000,11,1,415V-3Ph-50Hz,WORKING,PHASE-2,STAR DELTA STARTER WITH MPCB
347,EX-TCU - 62,TBR CURING ROOF MONITOR,TBR CURING ,EXHAUST AIR,34000,50,VANE AXIAL FAN,VDA 1000,11,1,415V-3Ph-50Hz,WORKING,PHASE-2,STAR DELTA STARTER WITH MPCB
348,EX-TCU - 63,TBR CURING ROOF MONITOR,TBR CURING ,EXHAUST AIR,34000,50,VANE AXIAL FAN,VDA 1000,11,1,415V-3Ph-50Hz,WORKING,PHASE-2,STAR DELTA STARTER WITH MPCB
349,EX-TCU - 64,TBR CURING ROOF MONITOR,TBR CURING ,EXHAUST AIR,34000,50,VANE AXIAL FAN,VDA 1000,11,1,415V-3Ph-50Hz,WORKING,PHASE-2,STAR DELTA STARTER WITH MPCB
350,EX-TCU - 65,TBR CURING ROOF MONITOR,TBR CURING ,EXHAUST AIR,34000,50,VANE AXIAL FAN,VDA 1000,11,1,415V-3Ph-50Hz,WORKING,PHASE-2,STAR DELTA STARTER WITH MPCB
351,EX-TCU - 66,TBR CURING ROOF MONITOR,TBR CURING ,EXHAUST AIR,34000,50,VANE AXIAL FAN,VDA 1000,11,1,415V-3Ph-50Hz,WORKING,PHASE-2,STAR DELTA STARTER WITH MPCB
352,EX-TCU - 67,TBR CURING ROOF MONITOR,TBR CURING ,EXHAUST AIR,34000,50,VANE AXIAL FAN,VDA 1000,11,1,415V-3Ph-50Hz,WORKING,PHASE-2,STAR DELTA STARTER WITH MPCB
353,EX-TCU - 68,TBR CURING ROOF MONITOR,TBR CURING ,EXHAUST AIR,34000,50,VANE AXIAL FAN,VDA 1000,11,1,415V-3Ph-50Hz,WORKING,PHASE-2,STAR DELTA STARTER WITH MPCB
354,EX-TCU - 69,TBR CURING ROOF MONITOR,TBR CURING ,EXHAUST AIR,34000,50,VANE AXIAL FAN,VDA 1000,11,1,415V-3Ph-50Hz,WORKING,PHASE-2,STAR DELTA STARTER WITH MPCB
355,EX-TCU - 70,TBR CURING ROOF MONITOR,TBR CURING ,EXHAUST AIR,34000,50,VANE AXIAL FAN,VDA 1000,11,1,415V-3Ph-50Hz,WORKING,PHASE-2,STAR DELTA STARTER WITH MPCB
356,EX-TCU - 71,TBR CURING ROOF MONITOR,TBR CURING ,EXHAUST AIR,34000,50,VANE AXIAL FAN,VDA 1000,11,1,415V-3Ph-50Hz,WORKING,PHASE-2,STAR DELTA STARTER WITH MPCB
357,EX-TCU - 72,TBR CURING ROOF MONITOR,TBR CURING ,EXHAUST AIR,34000,50,VANE AXIAL FAN,VDA 1000,11,1,415V-3Ph-50Hz,WORKING,PHASE-2,STAR DELTA STARTER WITH MPCB
358,EX-TCU - 73,TBR CURING ROOF MONITOR,TBR CURING ,EXHAUST AIR,34000,50,VANE AXIAL FAN,VDA 1000,11,1,415V-3Ph-50Hz,WORKING,PHASE-2,STAR DELTA STARTER WITH MPCB
359,EX-TCU - 74,TBR CURING ROOF MONITOR,TBR CURING ,EXHAUST AIR,34000,50,VANE AXIAL FAN,VDA 1000,11,1,415V-3Ph-50Hz,WORKING,PHASE-2,STAR DELTA STARTER WITH MPCB
360,EX-TCU - 75,TBR CURING ROOF MONITOR,TBR CURING ,EXHAUST AIR,34000,50,VANE AXIAL FAN,VDA 1000,11,1,415V-3Ph-50Hz,WORKING,PHASE-2,STAR DELTA STARTER WITH MPCB
361,EX-TCU - 76,TBR CURING ROOF MONITOR,TBR CURING ,EXHAUST AIR,34000,50,VANE AXIAL FAN,VDA 1000,11,1,415V-3Ph-50Hz,WORKING,PHASE-2,STAR DELTA STARTER WITH MPCB
362,EX-TCU - 77,TBR CURING ROOF MONITOR,TBR CURING ,EXHAUST AIR,34000,50,VANE AXIAL FAN,VDA 1000,11,1,415V-3Ph-50Hz,WORKING,PHASE-2,STAR DELTA STARTER WITH MPCB
363,EX-TCU - 78,TBR CURING ROOF MONITOR,TBR CURING ,EXHAUST AIR,34000,50,VANE AXIAL FAN,VDA 1000,11,1,415V-3Ph-50Hz,WORKING,PHASE-2,STAR DELTA STARTER WITH MPCB
364,EX-TCU - 79,TBR CURING ROOF MONITOR,TBR CURING ,EXHAUST AIR,34000,50,VANE AXIAL FAN,VDA 1000,11,1,415V-3Ph-50Hz,WORKING,PHASE-2,STAR DELTA STARTER WITH MPCB
365,EX-TCU - 80,TBR CURING ROOF MONITOR,TBR CURING ,EXHAUST AIR,34000,50,VANE AXIAL FAN,VDA 1000,11,1,415V-3Ph-50Hz,WORKING,PHASE-2,STAR DELTA STARTER WITH MPCB
366,EX-TCU - 81,TBR CURING ROOF MONITOR,TBR CURING ,EXHAUST AIR,34000,50,VANE AXIAL FAN,VDA 1000,11,1,415V-3Ph-50Hz,WORKING,PHASE-2,STAR DELTA STARTER WITH MPCB
367,EX-TCU - 82,TBR CURING ROOF MONITOR,TBR CURING ,EXHAUST AIR,34000,50,VANE AXIAL FAN,VDA 1000,11,1,415V-3Ph-50Hz,WORKING,PHASE-2,STAR DELTA STARTER WITH MPCB
368,EX-TCU - 83,TBR CURING ROOF MONITOR,TBR CURING ,EXHAUST AIR,34000,50,VANE AXIAL FAN,VDA 1000,11,1,415V-3Ph-50Hz,WORKING,PHASE-2,STAR DELTA STARTER WITH MPCB
369,EX-TCU - 84,TBR CURING ROOF MONITOR,TBR CURING ,EXHAUST AIR,34000,50,VANE AXIAL FAN,VDA 1000,11,1,415V-3Ph-50Hz,WORKING,PHASE-2,STAR DELTA STARTER WITH MPCB
370,EX-TCU - 85,TBR CURING ROOF MONITOR,TBR CURING ,EXHAUST AIR,34000,50,VANE AXIAL FAN,VDA 1000,11,1,415V-3Ph-50Hz,WORKING,PHASE-2,STAR DELTA STARTER WITH MPCB
371,EX-TCU - 86,TBR CURING ROOF MONITOR,TBR CURING ,EXHAUST AIR,34000,50,VANE AXIAL FAN,VDA 1000,11,1,415V-3Ph-50Hz,WORKING,PHASE-2,STAR DELTA STARTER WITH MPCB
372,EX-TCU - 87,TBR CURING ROOF MONITOR,TBR CURING ,EXHAUST AIR,34000,50,VANE AXIAL FAN,VDA 1000,11,1,415V-3Ph-50Hz,WORKING,PHASE-2,STAR DELTA STARTER WITH MPCB
373,EX-TCU - 88,TBR CURING ROOF MONITOR,TBR CURING ,EXHAUST AIR,34000,50,VANE AXIAL FAN,VDA 1000,11,1,415V-3Ph-50Hz,WORKING,PHASE-2,STAR DELTA STARTER WITH MPCB
374,EX-TCU - 89,TBR CURING ROOF MONITOR,TBR CURING ,EXHAUST AIR,34000,50,VANE AXIAL FAN,VDA 1000,11,1,415V-3Ph-50Hz,WORKING,PHASE-2,STAR DELTA STARTER WITH MPCB
375,EX-TCU - 90,TBR CURING ROOF MONITOR,TBR CURING ,EXHAUST AIR,34000,50,VANE AXIAL FAN,VDA 1000,11,1,415V-3Ph-50Hz,WORKING,PHASE-2,STAR DELTA STARTER WITH MPCB
376,EX-TCU - 91,TBR CURING ROOF MONITOR,TBR CURING ,EXHAUST AIR,34000,50,VANE AXIAL FAN,VDA 1000,11,1,415V-3Ph-50Hz,WORKING,PHASE-2,STAR DELTA STARTER WITH MPCB
377,EX-TCU - 92,TBR CURING ROOF MONITOR,TBR CURING ,EXHAUST AIR,34000,50,VANE AXIAL FAN,VDA 1000,11,1,415V-3Ph-50Hz,WORKING,PHASE-2,STAR DELTA STARTER WITH MPCB
378,EX-TCU - 93,TBR CURING ROOF MONITOR,TBR CURING ,EXHAUST AIR,34000,50,VANE AXIAL FAN,VDA 1000,11,1,415V-3Ph-50Hz,WORKING,PHASE-2,STAR DELTA STARTER WITH MPCB
379,EX-TCU - 94,TBR CURING ROOF MONITOR,TBR CURING ,EXHAUST AIR,34000,50,VANE AXIAL FAN,VDA 1000,11,1,415V-3Ph-50Hz,WORKING,PHASE-2,STAR DELTA STARTER WITH MPCB
380,EX-TCU - 95,TBR CURING ROOF MONITOR,TBR CURING ,EXHAUST AIR,34000,50,VANE AXIAL FAN,VDA 1000,11,1,415V-3Ph-50Hz,WORKING,PHASE-2,STAR DELTA STARTER WITH MPCB
381,EX-TCU - 96,TBR CURING ROOF MONITOR,TBR CURING ,EXHAUST AIR,34000,50,VANE AXIAL FAN,VDA 1000,11,1,415V-3Ph-50Hz,WORKING,PHASE-2,STAR DELTA STARTER WITH MPCB
382,EX-TCU - 97,TBR CURING ROOF MONITOR,TBR CURING ,EXHAUST AIR,34000,50,VANE AXIAL FAN,VDA 1000,11,1,415V-3Ph-50Hz,WORKING,PHASE-2,STAR DELTA STARTER WITH MPCB
383,EX-TCU - 98,TBR CURING ROOF MONITOR,TBR CURING ,EXHAUST AIR,34000,50,VANE AXIAL FAN,VDA 1000,11,1,415V-3Ph-50Hz,WORKING,PHASE-2,STAR DELTA STARTER WITH MPCB
384,EX-TCU - 99,TBR CURING ROOF MONITOR,TBR CURING ,EXHAUST AIR,34000,50,VANE AXIAL FAN,VDA 1000,11,1,415V-3Ph-50Hz,WORKING,PHASE-2,STAR DELTA STARTER WITH MPCB
385,EX-TCU - 100,TBR CURING ROOF MONITOR,TBR CURING ,EXHAUST AIR,34000,50,VANE AXIAL FAN,VDA 1000,11,1,415V-3Ph-50Hz,WORKING,PHASE-2,STAR DELTA STARTER WITH MPCB
386,AHU-TT-01,TEST CENTER ROOF,TEST CENTER,AIR-CONDITIONING,35,40,THERMAL BREAK AHU,,40.5,1,415V-3Ph-50Hz,WORKING,PHASE-1,STAR DELTA STARTER WITH MPCB
387,AHU-TT-02,TEST CENTER ROOF,TEST CENTER,AIR-CONDITIONING,35,40,THERMAL BREAK AHU,,40.5,1,415V-3Ph-50Hz,WORKING,PHASE-1,STAR DELTA STARTER WITH MPCB
388,AHU-TT-03,TEST CENTER ROOF,TEST CENTER,AIR-CONDITIONING,35,40,THERMAL BREAK AHU,,40.5,1,415V-3Ph-50Hz,WORKING,PHASE-2,STAR DELTA STARTER WITH MPCB
389,CHWP-11,PCR CURING ,TEST CENTER AHU,SECONDARY CHILLED WATER,77.2,30,CLOSE-COUPLED CENTRIFUGAL PUMP,NB-,11,1,415V-3Ph-50Hz,WORKING,PHASE-1,VFD STARTER
390,CHWP-12,PCR CURING ,TEST CENTER AHU,SECONDARY CHILLED WATER,77.2,30,CLOSE-COUPLED CENTRIFUGAL PUMP,NB-,11,1,415V-3Ph-50Hz,STANDBY,PHASE-1,VFD STARTER
391,CHWP-20,PCR CURING ,TEST CENTER AHU,SECONDARY CHILLED WATER,77.2,30,CLOSE-COUPLED CENTRIFUGAL PUMP,NB-,11,1,415V-3Ph-50Hz,WORKING,PHASE-2,VFD STARTER
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
