Name,Level,Rooms,Tandem Category,Classification,Category Name,GUID,Source File,System Class,Temperature (°F),Location,Warranty Start Date,Type of Lighting System,Humidity (%RH),Systems,Comments,Edited by,Eqpt Ref,Equipment No.,Equipment Tag,Image,Mark,Type Name,Workset,Elevation from Level (mm),Host,Level,Offset from Host (mm),CHW Dia (mm),Return Water Diameter (mm),Return Water Radius (mm),Supply Water Diameter (mm),Supply Water Radius (mm),ElementId,A Class PBS,AI_LBS Code,AI_SBS Code,ASSET INSTANCE,Asset_Tag,BUILDING SUFFIX,Functional Unit,Location Group,Lvl1 Comp PBS,Lvl3 Comp PBS Desc,Lvl3 Comp PBS,Primary Functional Unit,Sub Functional Unit,Circuit Number,Panel,Eqpt Load (VA),Load (VA),Motor Speed,Number of Poles,V/P/H,Voltage (V),Export to IFC As,Export to IFC,IFC Predefined Type,IfcGUID,Air Flow (L/s),CHW Flow (L/s),Critical Path,Sensible Cooling Capacity (W),Total Cooling Capacity (W),CHW Entering Temp (°C),CHW Leaving Temp (°C),Cooling Coil Water Pressure Drop (Pa),Drain Flow (L/s),EDB Temperature (°C),EWB Temperature (°C),External Static Pressure (Pa),FAN SPEED,HEAD (Pa),LDB Temperature (°C),LWB Temperature (°C),Power (W),System Classification,System Name,Network_Zone,Speed,view name,View Scale Visibility,FLUID,Heater Stages,SERVICE,TYPE,,
VAV-Volume Control Damper - Rectangular-XX,2nd FLOOR - L02,KITCHEN 15042,M.Du.Ac,,Duct Accessories,ad6e386a-85a5-4f81-8a5d-3ce308a09af7-0124a7f6,DHE-PA9B7-PE-MOD-BLA-L02R02-MEC-HV-0001.rvt,Supply Air,,,,,,AIRCONDITIONING,,,,,,,1810,VCD,ME_Chilled Water,2900,,2nd FLOOR - L02,,,,,,,19179510,,,,,,,,,,,,,,,,,,,,,,,By Type,,2jRZXgXQLFWOfTFEC9X3q1,,,,,,,,,,,,,,,,,,Supply Air,SAD 48,,,0,0,,,,,urn:adsk.dtm:JAQmAFUPTsK2GfH7ulGw8Q,AAAAAK1uOGqFpU-Bil084wigmvcBJKf2
VAV-Volume Control Damper - Rectangular-XX,2nd FLOOR - L02,CORR. 15045,M.Du.Ac,,Duct Accessories,ad6e386a-85a5-4f81-8a5d-3ce308a09af7-0124a7f8,DHE-PA9B7-PE-MOD-BLA-L02R02-MEC-HV-0001.rvt,Supply Air,,,,,,AIRCONDITIONING,,,,,,,1811,VCD,ME_Chilled Water,2900,,2nd FLOOR - L02,,,,,,,19179512,,,,,,,,,,,,,,,,,,,,,,,By Type,,2jRZXgXQLFWOfTFEC9X3qF,,,,,,,,,,,,,,,,,,Supply Air,SAD 48,,,0,0,,,,,urn:adsk.dtm:JAQmAFUPTsK2GfH7ulGw8Q,AAAAAK1uOGqFpU-Bil084wigmvcBJKf4
VAV-Volume Control Damper - Rectangular-XX,2nd FLOOR - L02,LIV / DIN 15693,M.Du.Ac,,Duct Accessories,0a4b5ef5-db92-4350-afed-99df31c965c0-01292e34,DHE-PA9B7-PE-MOD-BLA-L02R02-MEC-HV-0001.rvt,Supply Air,,,,,,AIRCONDITIONING,,,,,,,1842,VCD,ME_ AC & Chilled Water Apartment,2900,,2nd FLOOR - L02,,,,,,,19476020,,,,,,,,,,,,,,,,,,,,,,,By Type,,0AIrxrsv93KA$jcTymu4lq,,,,,,,,,,,,,,,,,,Supply Air,SAD 10,,,0,0,,,,,urn:adsk.dtm:JAQmAFUPTsK2GfH7ulGw8Q,AAAAAApLXvXbkkNQr-2Z3zHJZcABKS40
VAV-Volume Control Damper - Rectangular-XX,2nd FLOOR - L02,LIV / DIN 15693,M.Du.Ac,,Duct Accessories,0a4b5ef5-db92-4350-afed-99df31c965c0-01292e36,DHE-PA9B7-PE-MOD-BLA-L02R02-MEC-HV-0001.rvt,Supply Air,,,,,,AIRCONDITIONING,,,,,,,1843,VCD,ME_ AC & Chilled Water Apartment,2900,,2nd FLOOR - L02,,,,,,,19476022,,,,,,,,,,,,,,,,,,,,,,,By Type,,0AIrxrsv93KA$jcTymu4ls,,,,,,,,,,,,,,,,,,Supply Air,SAD 10,,,0,0,,,,,urn:adsk.dtm:JAQmAFUPTsK2GfH7ulGw8Q,AAAAAApLXvXbkkNQr-2Z3zHJZcABKS42
VAV-Volume Control Damper - Rectangular-XX,2nd FLOOR - L02,,M.Du.Ac,,Duct Accessories,e8c50587-bef9-4435-9e97-684134423a6d-011a07df,DHE-PA9B7-PE-MOD-BLA-L02R02-MEC-HV-0001.rvt,Supply Air,,,,,,AIRCONDITIONING,,,,,,,1563,VCD,ME_AC,2700,,2nd FLOOR - L02,,,,,,,18483167,,,,,,,,,,,,,,,,,,,,,,,By Type,,3enGM7llb4DPwNQ44rM3so,,,,,,,,,,,,,,,,,,Supply Air,SAD 5,,,0,0,,,,,urn:adsk.dtm:JAQmAFUPTsK2GfH7ulGw8Q,AAAAAOjFBYe--UQ1npdoQTRCOm0BGgff
VAV-Volume Control Damper - Rectangular-XX,2nd FLOOR - L02,,M.Du.Ac,,Duct Accessories,e8c50587-bef9-4435-9e97-684134423a6d-011a0969,DHE-PA9B7-PE-MOD-BLA-L02R02-MEC-HV-0001.rvt,Supply Air,,,,,,AIRCONDITIONING,,,,,,,1564,VCD,ME_AC,2700,,2nd FLOOR - L02,,,,,,,18483561,,,,,,,,,,,,,,,,,,,,,,,By Type,,3enGM7llb4DPwNQ44rM3C4,,,,,,,,,,,,,,,,,,Supply Air,SAD 5,,,0,0,,,,,urn:adsk.dtm:JAQmAFUPTsK2GfH7ulGw8Q,AAAAAOjFBYe--UQ1npdoQTRCOm0BGglp
VAV-Volume Control Damper - Rectangular-XX,2nd FLOOR - L02,M.BATH 15699,M.Du.Ac,,Duct Accessories,0a4b5ef5-db92-4350-afed-99df31c965c0-01292f18,DHE-PA9B7-PE-MOD-BLA-L02R02-MEC-HV-0001.rvt,Exhaust Air,,,,,,,,,,,,,1844,VCD,ME_ AC & Chilled Water Apartment,3050,,2nd FLOOR - L02,,,,,,,19476248,,,,,,,,,,,,,,,,,,,,,,,By Type,,0AIrxrsv93KA$jcTymu4hO,,,,,,,,,,,,,,,,,,Exhaust Air,EAD 1,,,0,0,,,,,urn:adsk.dtm:JAQmAFUPTsK2GfH7ulGw8Q,AAAAAApLXvXbkkNQr-2Z3zHJZcABKS8Y
VAV-Volume Control Damper - Rectangular-XX,2nd FLOOR - L02,MAID TOI. 15702,M.Du.Ac,,Duct Accessories,0a4b5ef5-db92-4350-afed-99df31c965c0-01292f1a,DHE-PA9B7-PE-MOD-BLA-L02R02-MEC-HV-0001.rvt,Exhaust Air,,,,,,,,,,,,,1845,VCD,ME_ AC & Chilled Water Apartment,3050,,2nd FLOOR - L02,,,,,,,19476250,,,,,,,,,,,,,,,,,,,,,,,By Type,,0AIrxrsv93KA$jcTymu4hQ,,,,,,,,,,,,,,,,,,Exhaust Air,EAD 1,,,0,0,,,,,urn:adsk.dtm:JAQmAFUPTsK2GfH7ulGw8Q,AAAAAApLXvXbkkNQr-2Z3zHJZcABKS8a
VAV-Volume Control Damper - Rectangular-XX,2nd FLOOR - L02,BATH 15704,M.Du.Ac,,Duct Accessories,0a4b5ef5-db92-4350-afed-99df31c965c0-01292f1b,DHE-PA9B7-PE-MOD-BLA-L02R02-MEC-HV-0001.rvt,Exhaust Air,,,,,,,,,,,,,1846,VCD,ME_ AC & Chilled Water Apartment,3050,,2nd FLOOR - L02,,,,,,,19476251,,,,,,,,,,,,,,,,,,,,,,,By Type,,0AIrxrsv93KA$jcTymu4hR,,,,,,,,,,,,,,,,,,Exhaust Air,EAD 1,,,0,0,,,,,urn:adsk.dtm:JAQmAFUPTsK2GfH7ulGw8Q,AAAAAApLXvXbkkNQr-2Z3zHJZcABKS8b
VAV-Volume Control Damper - Rectangular-XX,2nd FLOOR - L02,LIV / DIN 15693,M.Du.Ac,,Duct Accessories,0a4b5ef5-db92-4350-afed-99df31c965c0-01292f1d,DHE-PA9B7-PE-MOD-BLA-L02R02-MEC-HV-0001.rvt,Exhaust Air,,,,,,,,,,,,,1847,VCD,ME_ AC & Chilled Water Apartment,3075,,2nd FLOOR - L02,,,,,,,19476253,,,,,,,,,,,,,,,,,,,,,,,By Type,,0AIrxrsv93KA$jcTymu4hT,,,,,,,,,,,,,,,,,,Exhaust Air,EAD 1,,,0,0,,,,,urn:adsk.dtm:JAQmAFUPTsK2GfH7ulGw8Q,AAAAAApLXvXbkkNQr-2Z3zHJZcABKS8d
VAV-Volume Control Damper - Rectangular-XX,2nd FLOOR - L02,PWD.RM 15703,M.Du.Ac,,Duct Accessories,0a4b5ef5-db92-4350-afed-99df31c965c0-01292f1f,DHE-PA9B7-PE-MOD-BLA-L02R02-MEC-HV-0001.rvt,Exhaust Air,,,,,,,,,,,,,1848,VCD,ME_ AC & Chilled Water Apartment,3075,,2nd FLOOR - L02,,,,,,,19476255,,,,,,,,,,,,,,,,,,,,,,,By Type,,0AIrxrsv93KA$jcTymu4hV,,,,,,,,,,,,,,,,,,Exhaust Air,EAD 1,,,0,0,,,,,urn:adsk.dtm:JAQmAFUPTsK2GfH7ulGw8Q,AAAAAApLXvXbkkNQr-2Z3zHJZcABKS8f
VAV-Volume Control Damper - Rectangular-XX,2nd FLOOR - L02,UT. 15701,M.Du.Ac,,Duct Accessories,0a4b5ef5-db92-4350-afed-99df31c965c0-01292f21,DHE-PA9B7-PE-MOD-BLA-L02R02-MEC-HV-0001.rvt,Exhaust Air,,,,,,,,,,,,,1849,VCD,ME_ AC & Chilled Water Apartment,3075,,2nd FLOOR - L02,,,,,,,19476257,,,,,,,,,,,,,,,,,,,,,,,By Type,,0AIrxrsv93KA$jcTymu4hX,,,,,,,,,,,,,,,,,,Exhaust Air,EAD 1,,,0,0,,,,,urn:adsk.dtm:JAQmAFUPTsK2GfH7ulGw8Q,AAAAAApLXvXbkkNQr-2Z3zHJZcABKS8h
VAV-Volume Control Damper - Rectangular-XX,2nd FLOOR - L02,LIV / DIN 15693,M.Du.Ac,,Duct Accessories,0a4b5ef5-db92-4350-afed-99df31c965c0-01292f2e,DHE-PA9B7-PE-MOD-BLA-L02R02-MEC-HV-0001.rvt,Supply Air,,,,,,AIRCONDITIONING,,,,,,,1851,VCD,ME_ AC & Chilled Water Apartment,2770,,2nd FLOOR - L02,,,,,,,19476270,,,,,,,,,,,,,,,,,,,,,,,By Type,,0AIrxrsv93KA$jcTymu4hk,,,,,,,,,,,,,,,,,,Supply Air,SAD 3,,,0,0,,,,,urn:adsk.dtm:JAQmAFUPTsK2GfH7ulGw8Q,AAAAAApLXvXbkkNQr-2Z3zHJZcABKS8u
